event_code,rec_timestamp,event_actor,action_code,action_type,rel_cred,cie_body,identified_subjects,identified_objects,source_article_id
e.06112025.nea.002,2025-11-07 15:57:03,esp.1972.002,vu,Legal-Legislative,2-F,"$ rwa.hos <{mt}> cod.hos @ usa.cpl
  ▪ {s-rp} rwa.hos [ag] cod.hos",rwa.hos,"cod.hos,usa.cpl",
e.17112025.sea.001,2025-11-18 15:18:07,aus.min.jstc.exc.01,sn,Political-Diplomatic,5-E,"$ rwa.hos <{mt}> cod.hos @ usa.cpl
  ▪ {s-rp} rwa.hos [ag] cod.hos",rwa.hos,"cod.hos,usa.cpl",
e.12112025.eeu.001,2025-11-12 03:19:19,tur.1968.003,bn,Legal-Legislative,2-C,"$ rwa.hos <{mt}> cod.hos @ usa.cpl
  ▪ {s-rp} rwa.hos [ag] cod.hos",rwa.hos,"cod.hos,usa.cpl",
e.29012026.mea.001,2026-01-30 20:24:50,tur.1969.001,a-in,Announcement,2-C,"$ rwa.hos <{mt}> cod.hos @ usa.cpl
  ▪ {s-rp} rwa.hos [ag] cod.hos",rwa.hos,"cod.hos,usa.cpl",
e.11122025.nea.001,2025-12-12 20:22:09,fra.min.cltr.ath.exc.01,s-rs,Statement,1-C,"$ rwa.hos <{mt}> cod.hos @ usa.cpl
  ▪ {s-rp} rwa.hos [ag] cod.hos",rwa.hos,"cod.hos,usa.cpl",
e.08122025.mea.001,2025-12-09 07:29:50,aus.min.labr.psn.exc.01,sz,Legal-Juridical,2-F,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.09012026.nea.001,2026-01-09 05:30:43,gbr.1971.001,r-rp,Report Release,6-F,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.05112025.weu.001,2025-11-06 20:38:39,aus.min.resr.eng.exc.01,ed,Political-Operational,4-C,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.06122025.sam.001,2025-12-06 04:50:14,bra.1968.001,a-in,Announcement,4-E,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.25112025.oce.001,2025-11-26 01:58:13,rus.min.jstc.exc.01,c-ns,Claim-Rumor,2-B,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.29012026.weu.001,2026-01-30 13:03:55,fra.1984.001,c-st,Claim-Rumor,3-A,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.29122025.cas.001,2025-12-29 19:11:35,jpn.1973.001,sp,Political-Diplomatic,2-A,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.09112025.caf.001,2025-11-09 18:42:03,fra.1960.001,s-in,Statement,5-A,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.23012026.sea.002,2026-01-24 08:13:36,gbr.min.scnc.exc.01,s-as,Statement-Inflected,6-B,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.29012026.nea.001,2026-01-30 14:31:26,rus.1950.001,id,Legal-Juridical,1-B,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.15112025.sam.001,2025-11-16 16:53:16,nga.org.rlg.xtn.mmb.01.exc.01,sl,Commercial-Operational,5-C,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.11122025.caf.001,2025-12-11 04:04:35,fra.min.dfns.exc.01,c-st,Claim-Rumor,1-A,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.06122025.oce.001,2025-12-07 08:27:46,aus.1970.002,sc,Legal-Juridical,1-B,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.18122025.weu.001,2025-12-19 12:08:02,igo.002.exc.exc.01,bn,Legal-Legislative,1-C,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.27122025.mea.001,2025-12-27 01:30:11,esp.min.spec.ops.exc.01,sd,Miscellaneous-General,3-E,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.11112025.eaf.002,2025-11-12 07:17:38,fra.min.hlth.soc.exc.01,s-st,Statement,1-C,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.30122025.sam.001,2025-12-30 23:27:46,rwa.1957.001,wd,Legal-Legislative,6-C,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.25012026.cmb.001,2026-01-25 03:19:34,usa.1971.001,hl,Political-Popular,4-F,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.05012026.oce.001,2026-01-05 11:24:17,ben.1958.001,sp,Political-Diplomatic,2-F,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
e.05112025.sea.001,2025-11-05 10:02:58,usa.1946.001,dg,Miscellaneous-General,3-E,"$ gbr.cpl.exc.01 {ag} gbr.lh.318-2024-26.lex
  ▪ {s-op} $ sbs.imp.lex",gbr.cpl.exc.01,sbs.imp.lex,
